"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,,Management,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070101,DOE,Total Schools in this block :,,218,,,,,,,,,
"",Cluster Code & Name:,0701010001 DEFAULT,,,,,,,,,,,,
1,07010100109 BHORGARH-G(CO-ED)SSS,001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,254,177,431,3,,7 10,16
2,07010100104 GHOGA G(CO-ED)SSS,001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,89,66,155,4,,5 9,7
3,"07010100101 NARELA SEC A-6,POC-2,GOVT.CO-ED0S0S1S-NARELA",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,676,589,1265,14,,10 24,28
4,"07010100103 NARELA SECT. B-4, G(CO-ED)M.S.",001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,153,95,248,4,,2 6,4
5,"07010100102 NARELA, A-10 POCKET-5, RPVV",001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,93,39,132,6,,2 8,9
6,"07010100108 NARELA, NO.1-SKV",001-NARELA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,159,1329,1488,1,,43 44,41
7,"07010100110 NARELA, NO.2-GBSSS",001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,812,0,812,18,,0 18,25
8,"07010100105 NARELA, NO.2-SKV",001-NARELA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,182,1048,1230,0,,41 41,37
9,"07010100107 NARELA, POCKET 5 & 6-GGSS",001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,377,377,0,,9 9,13
10,07010100106 NARELA-GBSSS (MUSSADI LAL),001-NARELA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,860,0,860,24,,0 24,26
11,07010100202 BANKNER-GGSSS,002-BANKNER Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,506,506,0,,13 13,19
12,07010100201 BANKNER-SBV,002-BANKNER Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,793,84,877,20,,3 23,27
13,07010100309 ALIPUR-GBSSS,003-ALIPUR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,847,0,847,22,,0 22,23
14,07010100306 ALIPUR-SKV,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,83,1023,1106,0,,30 30,26
15,"07010100302 HOLAMBI KALAN,A-BLK G(CO-ED)SS",003-ALIPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,467,434,901,8,,2 10,19
16,"07010100303 HOLAMBI KALAN,BLOCK B-G(CO-ED) 003-ALIPUR",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,434,379,813,9,,8 17,17
17,"07010100301 HOLAMBI KALAN,C-BLOCK, G CO-EDS0S03-ALIPUR",Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,452,389,841,10,,3 13,18
18,07010100307 HOLAMBI KALAN-G(CO-ED)SSS,003-ALIPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,175,158,333,9,,3 12,10
19,07010100305 KHERA  KALAN-SKV (BABA NANE NAT0H03-ALIPUR,Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,182,407,589,0,,26 26,25
20,07010100308 KHERA KHURD-GBSSS,003-ALIPUR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,141,0,141,7,,0 7,8
21,07010100304 KHERA KHURD-SKV,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,87,264,351,2,,15 17,16
22,07010100310 SANNOTH-SV,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,243,164,407,12,,6 18,8
23,07010100404 BAKHTAWARPUR-GBSSS,004-BAKHTAWARPURUp. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,285,0,285,11,,0 11,13
24,07010100402 BAKHTAWARPUR-SKV (BMS),004-BAKHTAWARPURPr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,134,899,1033,4,,31 35,34
25,07010100403 PALLA MAJRA-GBSS,004-BAKHTAWARPURUp. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,297,0,297,9,,0 9,11
26,07010100401 SINGHU-G(CO-ED)SSS,004-BAKHTAWARPURUp. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,246,174,420,10,,6 16,15
27,07010100405 TIKRI KHURD-SV,004-BAKHTAWARPURPr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,577,359,936,14,,11 25,25
28,07010100501 BHALSWA DAIRY G CO-ED.SEC SCHO0O05L-BHALASWA JAHAUNpG. IPRrPimUaRryI  with sec./H.sec,,,,Department of EducatioUnrban Girls only,,,0,245,245,3,,2 5,9
29,"07010100506 JAHANGIRPURI, BLOCK D-GBSSS",005-BHALASWA JAHAUNpG. IPRrPimUaRryI  with sec./H.sec,,,Department of EducatioUnrban Boys only,,,1578,0,1578,32,,0 32,27
30,"07010100504 JAHANGIRPURI, BLOCK E-GBSS",005-BHALASWA JAHAUNpG. IPRrPimUaRryI  with sec./H.sec,,,Department of EducatioUnrban Boys only,,,485,0,485,13,,0 13,12
31,"07010100502 JAHANGIRPURI, BLOCK E-GGSS",005-BHALASWA JAHAUNpG. IPRrPimUaRryI  with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,556,556,2,,15 17,17
32,"07010100505 JAHANGIRPURI, BLOCK K-GBSSS",005-BHALASWA JAHAUNpG. IPRrPimUaRryI  with sec./H.sec,,,Department of EducatioUnrban Boys only,,,2122,0,2122,46,,0 46,47
"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,,Management,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070101,DOE,,Total Schools in this block :,218,,,,,,,,,
"",Cluster Code  & Name:,0701010001 DEFAULT,,,,,,,,,,,,
