SNo,Cluster Code,School Name,Region name,School category,School Management,Location,School type,Number of students,Boys,Girls,Male teachers,Female teachers
1,19170104125,S B K.G MODERN SCHOOL,WARD-38,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,19,8,27,1,5
2,19170108102,ADARSHA HINDI GIRLS SCH(PRI SE,WARD-78,Primary,Department of Education,Urban,Co-Educational,18,167,185,0,7
3,19170108101,ADARSHA HINDI HIGH SCHOOL(PRI,WARD-78,Primary,Department of Education,Urban,Boys only,366,0,366,16,1
4,19170108116,BADSHAH KHAN CENTENARY GIRLS HS,WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,757,757,0,13
5,19170108103,HARIJAN JNANA PRAKASH VIDYALAY,WARD-78,Primary,Department of Education,Urban,Co-Educational,76,83,159,5,1
6,19170108104,JAWAHARLAL NEHRU BALIKA VIDYAP,WARD-78,Primary,Department of Education,Urban,Girls only,0,290,290,4,7
7,19170108119,JAWAHARLAL NEHRU BALIKA VIDYAP,WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,306,306,0,9
8,19170108118,JAWAHARLAL NEHRU VID.BOYS HS,WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,294,0,294,11,3
9,19170108106,JAWAHARLAL NEHRU VIDYAPITH,WARD-78,Primary,Department of Education,Urban,Boys only,248,0,248,7,3
10,19170108120,KIDDERPORE ADARSHA HINDI SCHOO,WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,544,0,544,13,3
11,19170108127,KIDDERPORE MILANI G.H.SCH.,WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,170,170,0,14
12,19170108117,KIDDERPORE MILANI HIGH SCHOOL,WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,100,0,100,7,2
13,19170108107,KIDDERPORE MILANI PRY.SCHOOL,WARD-78,Primary,Department of Education,Urban,Co-Educational,87,110,197,1,7
14,19170108128,KIDDERPORE MUSLIM H.S (BOYS),WARD-78,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,391,0,391,12,1
15,19170108108,KIDDERPORE MUSLIM SCHOOL,WARD-78,Primary,Department of Education,Urban,Co-Educational,36,56,92,6,0
16,19170108150,MAHAVIR SAUDAGAR SINGH VIDYAMANDIR,WARD-78,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,2,1
17,19170108111,MOMINOUR U.P. SCHOOL,WARD-78,Primary,Department of Education,Urban,Co-Educational,38,51,89,3,2
18,19170108112,MONDAL MEMORIAL PRY.SCHOOL,WARD-78,Primary,Department of Education,Urban,Co-Educational,10,20,30,4,0
19,19170108149,SIDDHARTH PUBLIC SCHOOL,WARD-78,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,17
20,19170108148,SIR SYED AHMED S.S.K.,WARD-78,Primary,Local body,Urban,Co-Educational,21,45,66,0,2
21,19170108208,C.P.C. REMOUNT ROAD INSTITUTIO,WARD-79,Primary,Department of Education,Urban,Co-Educational,41,46,87,2,2
22,19170108215,C.P.C. REMOUNT ROAD INSTITUTIO,WARD-79,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,47,34,81,7,2
23,19170108201,HARIJAN SEWAK VIDYALAYA,WARD-79,Primary,Department of Education,Urban,Co-Educational,77,95,172,6,2
24,19170108203,HOSSAIN SHAH MEMO. URDU G.S.F.D.,WARD-79,Primary,Department of Education,Urban,Co-Educational,21,22,43,3,0
25,19170108205,KIDDERPORE URDU SCH KOBIKHET,WARD-79,Primary,Department of Education,Urban,Co-Educational,1,2,3,1,0
26,19170108210,MAULANA AZAD URDU SCHOOL,WARD-79,Primary,Department of Education,Urban,Co-Educational,80,89,169,6,0
27,19170108211,SIR SYED AHMED PRY. SCHOOL,WARD-79,Primary,Department of Education,Urban,Co-Educational,45,40,85,6,0
28,19170108202,SRI JAGANNATH VIDYAPITH,WARD-79,Primary,Department of Education,Urban,Co-Educational,73,58,131,6,1
29,19170110107,SISHU MELA PRY SCHOOL,WARD-98,Primary,Department of Education,Urban,Co-Educational,13,21,34,0,3
,,Cluster Code & Name:,1917010070,AJOYNAGAR VIDYAPITH,,,,,,,,
30,19170110906,KALIKAPUR R.F.P. SCHOOL,WARD-106,Primary,Department of Education,Urban,Co-Educational,96,105,201,1,7
31,19170111101,BANTALA KALIDEVI F.P. SCHOOL,WARD-108,Primary,Department of Education,Urban,Co-Educational,100,113,213,5,2
State Name :,WEST BENGAL,,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:
32,19170111102,CHOWBAGA F.P. SCHOOL,,WARD-108,Primary,Department of Education,Urban,Co-Educational,96,93,189,2
33,19170111107,HOSSAIN PUR F.P.,SCHOOL,WARD-108,Primary,Department of Education,Urban,Co-Educational,49,68,117,3
34,19170111104,WEST CHOWBAGHA F.P. SCHOOL,,WARD-108,Primary,Department of Education,Urban,Co-Educational,2,6,8,1
35,19170111205,AJOY NAGAR VIDYAPITH,,WARD-109,Primary,Department of Education,Urban,Co-Educational,194,182,376,5
36,19170111221,AMBEDKAR S.S.K.,,WARD-109,Primary,Local body,Urban,Co-Educational,42,46,88,0
37,19170111204,CHARAN KABI MAKUNDA DAS PRATH,,WARD-109,Primary,Department of Education,Urban,Co-Educational,231,207,438,2
38,19170111202,CHHIT KALIKAKAPUR PRATH VID,,WARD-109,Primary,Department of Education,Urban,Co-Educational,205,215,420,5
39,19170111223,INDUS VALLEY WORLD SCHOOL,,WARD-109,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1
40,19170111203,KALIKAPUR F.P. SCH,,WARD-109,Primary,Department of Education,Urban,Co-Educational,109,111,220,1
41,19170111219,MOTHER TERESA S.S.K.,,WARD-109,Primary,Local body,Urban,Co-Educational,28,26,54,0
42,19170111217,NETAJEE S.S.K.,,WARD-109,Primary,Local body,Urban,Co-Educational,18,23,41,0
43,19170111218,RAMKRISHNA S.S.K.,,WARD-109,Primary,Local body,Urban,Co-Educational,19,29,48,0
44,19170111220,SABUJ SANGHA S.S.K.,,WARD-109,Primary,Local body,Urban,Co-Educational,21,18,39,0
45,19170111201,SAHID SMRITY PRATHAMIK VIDYALAYA,,WARD-109,Primary,Department of Education,Urban,Co-Educational,254,268,522,5
46,19170111216,VIDYASAGAR S.S.K.,,WARD-109,Primary,Local body,Urban,Co-Educational,33,39,72,0
,,,Cluster Code & Name:,1917010092,ANANDAPUR,,,,,,,
