,Cluster Code,School Name,Region name,School category,School Management,Location,School type,Number of students,Boys,Girls,Male teachers,Female teachers,,,,
1,27250106903,LAL BAHADUR SHASTRI VIDY,AMONDI,No Response,Pvt. Aided,Rural,Co-Educational,14,17,31,5,0,,,,
2,27250106901,ZPPS AMODI,AMONDI,Primary with Upper Primary,Local body,Rural,Co-Educational,88,94,182,3,4,,,,
3,27250106904,ZPPS DHAVADI,AMONDI,Primary,Local body,Rural,Co-Educational,18,18,36,2,0,,,,
4,27250106902,ZPPS KHETEPATHAR,AMONDI,Primary,Local body,Rural,Co-Educational,8,5,13,1,0,,,,
5,27250108403,ZPPS SHIVKHANDI,GANGAPUR BU,Primary,Local body,Rural,Co-Educational,9,3,12,0,2,,,,
6,27250106002,ZPPS SHINDEWADI,GHONDMAL/SHINDEWADI,Primary,Local body,Rural,Co-Educational,9,5,14,1,1,,,,
7,27250106102,ZPPS GONWADI,KOLDARE/GONWADI,Primary,Local body,Rural,Co-Educational,9,6,15,1,1,,,,
8,27250106101,ZPPS KOLDARE,KOLDARE/GONWADI,Primary,Local body,Rural,Co-Educational,21,15,36,1,2,,,,
9,27250107001,ZPPS PHALKEWADI,PHALKEWADI,Primary,Local body,Rural,Co-Educational,11,10,21,2,0,,,,
10,27250106302,MUKTAI PRASHALA,PIMPALGAON (GHODE),Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,61,57,118,7,2,,,,
11,27250106301,ZPPS PIMPALGAON,PIMPALGAON (GHODE),Primary,Local body,Rural,Co-Educational,31,37,68,0,2,,,,
12,27250112301,ZPPS ADIWARE,ADIWARE,Primary,Local body,Rural,Co-Educational,9,19,28,1,0,,,,
13,27250112704,GOVT ASHRAM SCH ASANE,ASANE,Pr. with Up.Pr. & sec./H.Sec.,Tribal/Social Welfare Dept.,Rural,Co-Educational,92,101,193,9,0,,,,
14,27250112705,NEW ENGLISH SCH ASANE,ASANE,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,50,26,76,6,0,,,,
15,27250112701,ZPPS ASANE,ASANE,Primary,Local body,Rural,Co-Educational,15,13,28,2,0,,,,
16,27250112702,ZPPS JAMBALEWADI,ASANE,Primary,Local body,Rural,Co-Educational,0,2,2,1,0,,,,
17,27250112703,ZPPS KUMBHEWADI,ASANE,Primary,Local body,Rural,Co-Educational,9,8,17,2,0,,,,
18,27250112503,NEW ENGLISH SCH MALIN,MALIN,No Response,Pvt. Aided,Rural,Co-Educational,13,17,30,2,0,,,,
19,27250112501,ZPPS MALIN,MALIN,Primary with Upper Primary,Local body,Rural,Co-Educational,46,43,89,5,0,,,,
20,27250112502,ZPPS PASARAWADI,MALIN,Primary,Local body,Rural,Co-Educational,3,1,4,1,0,,,,
21,27250112801,ZPPS MENUBARWADI,MENUBARWADI,Primary,Local body,Rural,Co-Educational,10,10,20,1,0,,,,
22,27250112101,ZPPS PANCHALE BU,PANCHALE BU,Primary,Local body,Rural,Co-Educational,4,8,12,0,1,,,,
23,27250112201,ZPPS PANCHALE KHU,PANCHALE KHU,Primary,Local body,Rural,Co-Educational,5,6,11,2,0,,,,
24,27250103502,AWASARI KHU NO.2,AWASARI KHU,Primary,Local body,Rural,Girls only,0,113,113,0,4,,,,
25,27250103503,SHRI BHIRAVNATH VID. TANTRIK,AWASARI KHU,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,298,274,572,8,8,,,,
26,27250103501,ZPPS AWASARI KHU,AWASARI KHU,Primary,Local body,Rural,Boys only,153,0,153,2,3,,,,
27,27250103801,ZPPS BHORWADI,BHORWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,22,30,52,0,4,,,,
28,27250102602,ZPPS KAMTHEMALA,PIMPALGAON TARPHE MHA,Primary,Local body,Rural,Co-Educational,5,6,11,1,1,,,,
29,27250103701,ZPPS SHINDEMALA,SHINDEMALA,Primary,Local body,Rural,Co-Educational,44,39,83,1,2,,,,
30,27250104001,ZPPS TAMBADEMALA,TAMBDEMALA,Primary,Local body,Rural,Co-Educational,24,17,41,2,0,,,,
31,27250103602,ZPPS KARALEWADI,VAYALMALA,Primary,Local body,Rural,Co-Educational,10,9,19,0,2,,,,
32,27250103601,ZPPS VAYALMALA,VAYALMALA,Primary,Local body,Rural,Co-Educational,8,10,18,0,2,,,,
33,27250108608,NEW ENG SCH BORGHAR,BORGHAR,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,29,43,72,5,0,,,,
34,27250108606,ZPPS AWALEWADI,BORGHAR,Primary,Local body,Rural,Co-Educational,13,2,15,1,0,,,,
35,27250108601,ZPPS BORGHAR,BORGHAR,Primary,Local body,Rural,Co-Educational,14,21,35,1,1,,,,
36,27250108604,ZPPS DAREWADI,BORGHAR,Primary,Local body,Rural,Co-Educational,8,6,14,2,0,,,,
37,27250108609,ZPPS GHODEWADI,BORGHAR,Primary,Local body,Rural,Co-Educational,4,5,9,2,0,,,,
38,27250108607,ZPPS GHOTMAL,BORGHAR,Primary,Local body,Rural,Co-Educational,5,6,11,2,0,,,,
39,27250108602,ZPPS KALWADI,BORGHAR,Primary,Local body,Rural,Co-Educational,7,3,10,1,0,,,,
40,27250108605,ZPPS KOKNEWADI,BORGHAR,Primary,Local body,Rural,Co-Educational,6,3,9,2,0,,,,
41,27250108603,ZPPS UMBARWADI,BORGHAR,Primary with Upper Primary,Local body,Rural,Co-Educational,8,9,17,2,0,,,,
42,27250108905,"ANUDANIT PR ASHRAMSHALA, PHULA",PHULWADE (MOHAREWADI),Pr. with Up.Pr. & sec./H.Sec.,Pvt. Aided,Rural,Co-Educational,157,141,298,8,0,,,,
43,27250108904,SHRIRANG GABHALE VIDY,PHULWADE (MOHAREWADI),Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,50,37,87,3,2,,,,
44,27250108903,ZPPS BHAGTWADI,PHULWADE (MOHAREWADI),Primary,Local body,Rural,Co-Educational,7,13,20,2,0,,,,
45,27250108901,ZPPS MOHAREWADI,PHULWADE (MOHAREWADI),Primary,Local body,Rural,Co-Educational,25,20,45,1,1,,,,
46,27250108902,ZPPS NANDKARWADI,PHULWADE (MOHAREWADI),Primary,Local body,Rural,Co-Educational,9,7,16,2,0,,,,
47,27250104701,ZPPS CHANDOLI BU,CHANDOLI BU,Primary with Upper Primary,Local body,Rural,Co-Educational,187,148,335,8,7,,,,
48,27250102701,ZPPS CHANDOLI KHU,CHANDOLI KHU,Primary with Upper Primary,Local body,Rural,Co-Educational,108,101,209,2,6,,,,
49,27250103101,ZPPS EKLAHARE,EKLAHARE,Primary,Local body,Rural,Co-Educational,28,15,43,0,2,,,,
50,27250103102,ZPPS SHINDEWADI,EKLAHARE,Primary,Local body,Rural,Co-Educational,10,14,24,2,0,,,,
51,27250105201,ZPPS JADHAVWADI,JADHWADI,Primary,Local body,Rural,Co-Educational,54,68,122,3,1,,,,
52,27250104104,KAMLJA DEVI VIDY KALAMB,KALAMB,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,319,242,561,6,4,,,,
53,27250104102,ZPPS GANESHWADI,KALAMB,Primary,Local body,Rural,Co-Educational,17,12,29,1,1,,,,
54,27250104101,ZPPS KALAMB,KALAMB,Primary,Local body,Rural,Co-Educational,111,89,200,4,3,,,,
55,27250104103,ZPPS VARPEMALA,KALAMB,Primary,Local body,Rural,Co-Educational,23,19,42,1,1,,,,
56,27250104804,KALBHAIRAVNATH VIDY KHADKI,KHADKI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,114,114,228,4,2,,,,
57,27250104803,ZPPS DAGAD VASAHAT,KHADKI,Primary,Local body,Rural,Co-Educational,13,27,40,0,2,,,,
58,27250104801,ZPPS KHADKI,KHADKI,Primary,Local body,Rural,Co-Educational,60,38,98,1,3,,,,
59,27250104802,ZPPS PANDHARIWASTI,KHADKI,Primary,Local body,Rural,Co-Educational,28,25,53,2,0,,,,
60,27250104902,ZPPS BHAIRAVNATHWADI (LOUKI),LAUKI,Primary,Local body,Rural,Co-Educational,10,8,18,1,1,,,,
61,27250104901,ZPPS LOUKI,LAUKI,Primary with Upper Primary,Local body,Rural,Co-Educational,75,68,143,4,3,,,,
62,27250102603,SHRIRAM VIDY PIMPALGAON,PIMPALGAON TARPHE MHA,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,176,176,352,6,6,,,,
63,27250102601,ZPPS PIMPALGAON TARPHE MAHALUN,PIMPALGAON TARPHE MHA,Primary,Local body,Rural,Co-Educational,172,155,327,4,4,,,,
64,27250105101,ZPPS THORANDALE,THORANDALE,Primary with Upper Primary,Local body,Rural,Co-Educational,145,145,290,5,5,,,,
65,27250100702,SHREE SHIVAJI VID. DHAMANI,DHAMANI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,178,142,320,3,3,,,,
66,27250100701,ZPPS DHAMNI,DHAMANI,Primary,Local body,Rural,Co-Educational,84,68,152,6,0,,,,
67,27250100603,ZPPS DYANESHWARWASTI,JARKARWADI,Primary,Local body,Rural,Co-Educational,27,14,41,1,1,,,,
68,27250101102,MADHAMIK VIDYALAY KHADKWADI,KHADAKWADI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,51,53,104,3,3,,,,
69,27250101101,ZPPS KHADKWADI,KHADAKWADI,Primary,Local body,Rural,Co-Educational,63,38,101,2,1,,,,
70,27250101002,SHREE BHAIRVNATH,LONI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,130,107,237,8,2,,,,
71,27250101001,ZPPS LONI,LONI,Primary,Local body,Rural,Co-Educational,63,60,123,0,4,,,,
72,27250101401,ZPPS MANDLEWADI,MANDALEWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,31,26,57,2,2,,,,
73,27250100801,ZPPS PAHADDARA,PAHADDARA,Primary,Local body,Rural,Co-Educational,9,7,16,1,1,,,,
74,27250100802,ZPPS THAKARWADI,PAHADDARA,Primary,Local body,Rural,Co-Educational,17,13,30,2,0,,,,
75,27250101201,ZPPS RANMALA,RANMALA,Primary,Local body,Rural,Co-Educational,9,10,19,1,1,,,,
76,27250101202,ZPPS VALUNJNAGAR,RANMALA,Primary,Local body,Rural,Co-Educational,13,16,29,1,1,,,,
77,27250100901,ZPPS SHIRDALE,SHIRDALE,Primary,Local body,Rural,Co-Educational,9,3,12,2,0,,,,
78,27250101302,PRAGATI VID.VADGAON PEER,VADGAON PIR,No Response,Pvt. Aided,Rural,Co-Educational,13,11,24,2,0,,,,
79,27250101301,ZPPS VADGAONVEER,VADGAON PIR,Primary with Upper Primary,Local body,Rural,Co-Educational,53,60,113,4,2,,,,
80,27250106401,ZPPS POKHARKARWADI,POKHARKARWADI,Primary,Local body,Rural,Co-Educational,19,20,39,2,0,,,,
